"datetime","out","in"
"2020-02-01 00:00:00","9.2598368750e+08","3.4546957500e+09"
"2020-02-01 00:05:00","9.7133918750e+08","3.6553757500e+09"
"2020-02-01 00:10:00","1.0658815000e+09","3.7851482500e+09"
"2020-02-01 00:15:00","1.0301975625e+09","3.1183670000e+09"
"2020-02-01 00:20:00","9.2507075000e+08","2.8650912500e+09"
"2020-02-01 00:25:00","9.1973737500e+08","2.6315405000e+09"
"2020-02-01 00:30:00","8.8081537500e+08","2.4882705000e+09"
"2020-02-01 00:35:00","8.3606475000e+08","2.5414445000e+09"
"2020-02-01 00:40:00","8.2993600000e+08","2.5961885000e+09"
"2020-02-01 00:45:00","8.2330031250e+08","2.8068097500e+09"
"2020-02-01 00:50:00","8.5739625000e+08","2.7876907500e+09"
"2020-02-01 00:55:00","9.9069775000e+08","3.0337662500e+09"
"2020-02-01 01:00:00","9.5203562500e+08","2.8986910000e+09"
"2020-02-01 01:05:00","8.7675587500e+08","2.5206977500e+09"
"2020-02-01 01:10:00","9.0237781250e+08","2.7381870000e+09"
"2020-02-01 01:15:00","9.0834243750e+08","2.5117337500e+09"
"2020-02-01 01:20:00","7.3668100000e+08","2.0714680000e+09"
"2020-02-01 01:25:00","8.2391687500e+08","2.2767837500e+09"
"2020-02-01 01:30:00","8.5033993750e+08","2.1369710000e+09"
"2020-02-01 01:35:00","7.9497818750e+08","2.1251822500e+09"
"2020-02-01 01:40:00","7.4063550000e+08","2.1812302500e+09"
"2020-02-01 01:45:00","7.4951893750e+08","1.9969636250e+09"
"2020-02-01 01:50:00","8.0949981250e+08","1.9882338750e+09"
"2020-02-01 01:55:00","8.1270850000e+08","2.2158682500e+09"
"2020-02-01 02:00:00","9.9645693750e+08","2.2455457500e+09"
"2020-02-01 02:05:00","9.7114281250e+08","2.0898457500e+09"
"2020-02-01 02:10:00","9.7795781250e+08","2.1487535000e+09"
"2020-02-01 02:15:00","1.0953218750e+09","2.8545870000e+09"
"2020-02-01 02:20:00","1.1191181250e+09","3.6114545000e+09"
"2020-02-01 02:25:00","1.1857960000e+09","3.4935320000e+09"
"2020-02-01 02:30:00","1.1336431250e+09","3.1332407500e+09"
"2020-02-01 02:35:00","9.2793937500e+08","1.7180285000e+09"
"2020-02-01 02:40:00","1.2018403750e+09","2.9198842500e+09"
"2020-02-01 02:45:00","1.2282506250e+09","3.4262775000e+09"
"2020-02-01 02:50:00","1.1145488750e+09","3.1989087500e+09"
"2020-02-01 02:55:00","1.2198055000e+09","3.3344202500e+09"
"2020-02-01 03:00:00","9.8171537500e+08","1.8668591250e+09"
"2020-02-01 03:05:00","1.0138724375e+09","1.5946285000e+09"
"2020-02-01 03:10:00","9.4675843750e+08","1.6865392500e+09"
"2020-02-01 03:15:00","9.9170462500e+08","1.6372013750e+09"
"2020-02-01 03:20:00","9.9048956250e+08","1.6503800000e+09"
"2020-02-01 03:25:00","9.8900525000e+08","1.5948012500e+09"
"2020-02-01 03:30:00","1.3311771250e+09","2.0175458750e+09"
"2020-02-01 03:35:00","1.3360393750e+09","2.0177020000e+09"
"2020-02-01 03:40:00","1.3705910000e+09","2.1102655000e+09"
"2020-02-01 03:45:00","1.2935342500e+09","1.9903418750e+09"
"2020-02-01 03:50:00","1.2481478750e+09","1.9927146250e+09"
"2020-02-01 03:55:00","1.2644286250e+09","1.8970068750e+09"
"2020-02-01 04:00:00","1.2701775000e+09","1.9112938750e+09"
"2020-02-01 04:05:00","1.1424408750e+09","1.8839007500e+09"
"2020-02-01 04:10:00","1.2147100000e+09","1.9241812500e+09"
"2020-02-01 04:15:00","1.2330905000e+09","1.8235270000e+09"
"2020-02-01 04:20:00","1.0849866250e+09","1.5782312500e+09"
"2020-02-01 04:25:00","1.0743208750e+09","1.5883741250e+09"
"2020-02-01 04:30:00","1.0686692500e+09","1.5277030000e+09"
"2020-02-01 04:35:00","1.0819987500e+09","1.5979992500e+09"
"2020-02-01 04:40:00","1.0562378750e+09","1.5710508750e+09"
"2020-02-01 04:45:00","1.0497408750e+09","1.5181625000e+09"
"2020-02-01 04:50:00","1.0144795625e+09","1.6051088750e+09"
"2020-02-01 04:55:00","9.7014456250e+08","1.6289691250e+09"
"2020-02-01 05:00:00","1.0180397500e+09","1.4712957500e+09"
"2020-02-01 05:05:00","9.4593781250e+08","1.4072995000e+09"
"2020-02-01 05:10:00","1.0270740000e+09","1.5146300000e+09"
"2020-02-01 05:15:00","9.2373787500e+08","1.3774493750e+09"
"2020-02-01 05:20:00","9.5349131250e+08","1.4674930000e+09"
"2020-02-01 05:25:00","9.1703993750e+08","1.3318365000e+09"
"2020-02-01 05:30:00","8.1408918750e+08","1.2559847500e+09"
"2020-02-01 05:35:00","8.4724837500e+08","1.2845810000e+09"
"2020-02-01 05:40:00","7.8801143750e+08","1.2473620000e+09"
"2020-02-01 05:45:00","7.9177081250e+08","1.1835735000e+09"
"2020-02-01 05:50:00","7.1929587500e+08","1.1822011250e+09"
"2020-02-01 05:55:00","6.4727125000e+08","1.1763993750e+09"
"2020-02-01 06:00:00","5.7261131250e+08","1.1105432500e+09"
"2020-02-01 06:05:00","5.2554250000e+08","9.7088325000e+08"
"2020-02-01 06:10:00","4.9826953125e+08","9.1433125000e+08"
"2020-02-01 06:15:00","5.2240221875e+08","9.0554437500e+08"
"2020-02-01 06:20:00","5.3669625000e+08","8.8200168750e+08"
"2020-02-01 06:25:00","5.3921018750e+08","8.9095731250e+08"
"2020-02-01 06:30:00","3.3156871875e+08","6.5313187500e+08"
"2020-02-01 06:35:00","4.9074890625e+08","1.4036270000e+09"
"2020-02-01 06:40:00","7.1846168750e+08","2.6524112500e+09"
"2020-02-01 06:45:00","5.8696306250e+08","1.8008051250e+09"
"2020-02-01 06:50:00","8.1533256250e+08","2.8182600000e+09"
"2020-02-01 06:55:00","8.6843831250e+08","3.2656682500e+09"
"2020-02-01 07:00:00","9.5782081250e+08","3.6488337500e+09"
"2020-02-01 07:05:00","1.0414808125e+09","4.0951075000e+09"
"2020-02-01 07:10:00","1.0652742500e+09","4.1776292500e+09"
"2020-02-01 07:15:00","1.1604003750e+09","4.4563120000e+09"
"2020-02-01 07:20:00","1.0952236250e+09","4.8429115000e+09"
"2020-02-01 07:25:00","1.1400250000e+09","4.9884420000e+09"
"2020-02-01 07:30:00","1.1954928750e+09","5.4722100000e+09"
"2020-02-01 07:35:00","1.2697003750e+09","5.7647975000e+09"
"2020-02-01 07:40:00","1.1940586250e+09","5.5384600000e+09"
"2020-02-01 07:45:00","7.7154868750e+08","2.5133897500e+09"
"2020-02-01 07:50:00","8.4817981250e+08","2.9603312500e+09"
"2020-02-01 07:55:00","1.2297918750e+09","5.4189000000e+09"
"2020-02-01 08:00:00","1.0645602500e+09","5.1958180000e+09"
"2020-02-01 08:05:00","1.0101231250e+09","5.0336435000e+09"
"2020-02-01 08:10:00","1.0741940000e+09","5.0586840000e+09"
"2020-02-01 08:15:00","1.0726785000e+09","5.3864480000e+09"
"2020-02-01 08:20:00","1.0212071250e+09","5.1488050000e+09"
"2020-02-01 08:25:00","1.1315050000e+09","5.4488700000e+09"
"2020-02-01 08:30:00","1.0368236875e+09","5.2163180000e+09"
"2020-02-01 08:35:00","1.0753661250e+09","5.4391085000e+09"
"2020-02-01 08:40:00","1.1010010000e+09","5.2312775000e+09"
"2020-02-01 08:45:00","1.1026273750e+09","5.3814690000e+09"
"2020-02-01 08:50:00","1.0238745625e+09","5.5560080000e+09"
"2020-02-01 08:55:00","9.8732100000e+08","5.2467900000e+09"
"2020-02-01 09:00:00","1.0720750000e+09","5.3639605000e+09"
"2020-02-01 09:05:00","1.0621057500e+09","5.5200775000e+09"
"2020-02-01 09:10:00","1.0801957500e+09","5.1016615000e+09"
"2020-02-01 09:15:00","9.7672606250e+08","4.8494645000e+09"
